Transaction Date,Narrative,Transaction Reference,Credit
27/04/2023,37601400120,54140345, 830.00 
27/04/2023,37601400130,54140876," 2,260.00 "
27/04/2023,37601400171,S3120054, 800.00 
27/04/2023,37601400180,S7251724," 1,000.00 "
27/04/2023,37601400160,S934015, 170.00 
27/04/2023,37601400140,S3295008," 1,380.00 "
27/04/2023,37601400100,S9791963, 800.00 
27/04/2023,37601400010,S9515715," 1,000.00 "
27/04/2023,37601400030,S9946361, 450.00 
27/04/2023,37601400090,S4476085," 15,000.00 "
27/05/2023,37601400010,S4655809," 8,500.00 "
,,," 32,190.00 "
